"bsv"	"context"	"word"	"context"	"location"	"features"
"BSV_Corse_Maraichage_5_3sept_2019_cle8b6a1e"	"s'en prend aussi au"	"citron, goyave, banane"	", nèfle du Japon, to"	"13705-13727"	"type=CONJ_PATTERN, form=citron, goyave, banane"
"BSV_Corse_Maraichage_5_3sept_2019_cle8b6a1e"	"ne, nèfle du Japon,"	"tomate, cerise"	"de Cayenne, fruit d"	"13745-13759"	"type=CONJ_PATTERN, form=tomate, cerise"
"BSV_Corse_Maraichage_5_3sept_2019_cle8b6a1e"	"e la passion, kaki,"	"ananas, pêche, poire, abricot, figue"	"et café. Les légume"	"13799-13835"	"type=CONJ_PATTERN, form=ananas, pêche, poire, abricot, figue"
"BSV_Corse_Maraichage_5_3sept_2019_cle8b6a1e"	"rnés sont notamment"	"les tomates, poivrons, melons et courges"	". Comme les autres m"	"13882-13922"	"type=CONJ_PATTERN, form=les tomates, poivrons, melons et courges"
"BSV_Legumes_102019_cle8be56a"	"ltures d'alliacées ("	"poireaux, ciboulette, ail"	") pour détecter d'é"	"6956-6981"	"type=CONJ_PATTERN, form=poireaux, ciboulette, ail"
"BSV_Legumes_102019_cle8be56a"	"les plantes hôtes ("	"poireaux, oignons, pommes"	"de terre, choux, be"	"11980-12005"	"type=CONJ_PATTERN, form=poireaux, oignons, pommes"
"BSV_Legumes_102019_cle8be56a"	"s, pommes de terre,"	"choux, betterave, luzerne"	").- Travail du sol"	"12016-12041"	"type=CONJ_PATTERN, form=choux, betterave, luzerne"
"BSV_Legumes_102019_cle8be56a"	"ansfrontaliers pour"	"le Maraîchage et la culture"	"de fraises, favoris"	"23342-23369"	"type=CONJ_PATTERN, form=le Maraîchage et la culture"
"BSV_Legumes_102019_cle8be56a"	"de plantes hôtes :"	"colza , betteraves, pommes"	"de terre, endives,"	"25359-25385"	"type=CONJ_PATTERN, form=colza , betteraves, pommes"
"BSV_Legumes_102019_cle8be56a"	"s, pommes de terre,"	"endives, haricots, pois"	", carottes, choux, s"	"25396-25419"	"type=CONJ_PATTERN, form=endives, haricots, pois"
"BSV_Legumes_102019_cle8be56a"	"ts, pois, carottes,"	"choux, salades, navets, scorsonères, céleri, phacélie, moutarde"	". Seules les graminé"	"25431-25494"	"type=CONJ_PATTERN, form=choux, salades, navets, scorsonères, céleri, phacélie, moutarde"
"BSV_Legumes_102019_cle8be56a"	"40 plantes hôtes) :"	"haricot, concombre, épinard, tomate, radis, navet, oignon, poireau, pomme"	"de terre Les femell"	"32134-32207"	"type=CONJ_PATTERN, form=haricot, concombre, épinard, tomate, radis, navet, oignon, poireau, pomme"
"BSV_Legumes_102019_cle8be56a"	"les stratégies sur"	"pois, haricot, flageolet"	"et carotte, n'hésit"	"35432-35456"	"type=CONJ_PATTERN, form=pois, haricot, flageolet"
"BSV_Legumes_102019_cle8be56a"	"DELASSUS-PLRN; Chou-"	"fleur, choux"	": F. SIMEON -PLRN;"	"36712-36724"	"type=CONJ_PATTERN, form=fleur, choux"
"BSV_Legumes_132019_cle871f9a"	"ur les parcelles de"	"haricots et flageolets"	". Les dégâts sont pl"	"2645-2667"	"type=CONJ_PATTERN, form=haricots et flageolets"
"BSV_Legumes_132019_cle871f9a"	"40 plantes hôtes) :"	"haricot, concombre, épinard, tomate, radis, navet, oignon, poireau, pomme"	"de terre Les femell"	"21300-21373"	"type=CONJ_PATTERN, form=haricot, concombre, épinard, tomate, radis, navet, oignon, poireau, pomme"
"BSV_Legumes_132019_cle871f9a"	"DELASSUS-PLRN; Chou-"	"fleur, choux"	": F. SIMEON -PLRN;"	"23903-23915"	"type=CONJ_PATTERN, form=fleur, choux"
"BSV_Legumes_212019_cle835ca3"	"DELASSUS-PLRN; Chou-"	"fleur, choux"	": F. SIMEON -PLRN;"	"20156-20168"	"type=CONJ_PATTERN, form=fleur, choux"
"BSV_Legumes_262019_cle8bd5e8"	"DELASSUS-PLRN; Chou-"	"fleur, choux"	": F. SIMEON -PLRN;"	"14507-14519"	"type=CONJ_PATTERN, form=fleur, choux"
"BSV_Legumes_322019_2__cle44e13b"	"on des parcelles de"	"haricot et flageolet"	": Ravageu"	"9553-9573"	"type=CONJ_PATTERN, form=haricot et flageolet"
"BSV_Legumes_322019_2__cle44e13b"	"DELASSUS-PLRN; Chou-"	"fleur, choux"	": F. SIMEON -PLRN;"	"13582-13594"	"type=CONJ_PATTERN, form=fleur, choux"
"BSV_Legumes_industries_2019_No20_cle06a888"	"ui se développe sur"	"choux et navets"	". L'adulte est orang"	"6390-6405"	"type=CONJ_PATTERN, form=choux et navets"
"BSV_MARAICHAGE_2019_02_cle0c5c84"	"égumes industriels,"	"arboriculture, maraîchage, pépinière"	"horticulture, zones"	"4719-4755"	"type=CONJ_PATTERN, form=arboriculture, maraîchage, pépinière"
"BSV_MARAICHAGE_2019_15_cle04166a"	"égumes industriels,"	"arboriculture, maraîchage, pépinière"	"horticulture. Page"	"12173-12209"	"type=CONJ_PATTERN, form=arboriculture, maraîchage, pépinière"
"BSV_MARAICHAGE_2019_23_cle0745ab"	"égumes industriels,"	"arboriculture, maraîchage, pépinière"	"horticulture. Page"	"6515-6551"	"type=CONJ_PATTERN, form=arboriculture, maraîchage, pépinière"
"BSV_MARAICHAGE_Nord_NA_02_20190507_cle85ab9d"	"e variété sensible."	"Carotte et céleri"	"-rave Mouche de la c"	"2030-2047"	"type=CONJ_PATTERN, form=Carotte et céleri"
"BSV_MARAICHAGE_Nord_NA_02_20190507_cle85ab9d"	"ts . Autres légumes"	"Aubergines, concombres, courgettes"	"(informations tour"	"2380-2414"	"type=CONJ_PATTERN, form=Aubergines, concombres, courgettes"
"BSV_MARAICHAGE_Nord_NA_02_20190507_cle85ab9d"	"sont signalées sur"	"poivrons, aubergines et concombres"	"). On peut remarquer"	"8259-8293"	"type=CONJ_PATTERN, form=poivrons, aubergines et concombres"
"BSV_MARAICHAGE_Nord_NA_02_20190507_cle85ab9d"	"e variété sensible."	"Carotte et céleri"	"-rave Mouche de la c"	"9365-9382"	"type=CONJ_PATTERN, form=Carotte et céleri"
"BSV_MARAICHAGE_Nord_NA_02_20190507_cle85ab9d"	"légumes Aubergine,"	"concombre, courgettes"	"et d'autres légumes"	"11139-11160"	"type=CONJ_PATTERN, form=concombre, courgettes"
"BSV_MARAICHAGE_Nord_NA_02_20190507_cle85ab9d"	"ezara viridula) sur"	"aubergine et concombre"	". Le descriptif des"	"12000-12022"	"type=CONJ_PATTERN, form=aubergine et concombre"
"BSV_MARAICHAGE_Nord_NA_02_20190507_cle85ab9d"	"sont en place dans"	"les vergers et les cultures"	"légumières. Les tra"	"14681-14708"	"type=CONJ_PATTERN, form=les vergers et les cultures"
"BSV_MARAICHAGE_Nord_NA_02_20190507_cle85ab9d"	"ment de larves dans"	"les fruits et légumes"	") de la mouche orien"	"15563-15584"	"type=CONJ_PATTERN, form=les fruits et légumes"
"BSV_MARAICHAGE_Nord_NA_02_20190507_cle85ab9d"	"ins variables selon"	"les fruits et légumes"	"attaqués. Les larve"	"16027-16048"	"type=CONJ_PATTERN, form=les fruits et légumes"
"BSV_MARAICHAGE_Nord_NA_02_20190507_cle85ab9d"	"fruitières (pêcher,"	"poirier, mangue, banane"	",...), agrumes (citr"	"16249-16272"	"type=CONJ_PATTERN, form=poirier, mangue, banane"
"BSV_MARAICHAGE_Nord_NA_02_20190507_cle85ab9d"	"...) et légumières ("	"tomate, poivron"	", aubergine, melon,"	"16323-16338"	"type=CONJ_PATTERN, form=tomate, poivron"
"BSV_MARAICHAGE_Nord_NA_02_20190507_cle85ab9d"	"poivron, aubergine,"	"melon, courge"	",...). Bactrocera do"	"16351-16364"	"type=CONJ_PATTERN, form=melon, courge"
"BSV_MARAICHAGE_Nord_NA_02_20190507_cle85ab9d"	"a communautaire des"	"fruits et légumes"	". Toute suspicion do"	"16717-16734"	"type=CONJ_PATTERN, form=fruits et légumes"
"BSV_MARAICHAGE_Nord_NA_16__20190822_cle04e172"	"n site en Charente."	"Carotte et céleri"	"-rave Mouche de la c"	"1593-1610"	"type=CONJ_PATTERN, form=Carotte et céleri"
"BSV_MARAICHAGE_Nord_NA_16__20190822_cle04e172"	"22 août 2019 4/11"	"Carotte et céleri"	"-rave Mouche de la c"	"11705-11722"	"type=CONJ_PATTERN, form=Carotte et céleri"
"BSV_MARAICHAGE_Nord_NA_16__20190822_cle04e172"	"soleil sur fruits ("	"poivron, tomate"	") ; des nécroses api"	"20096-20111"	"type=CONJ_PATTERN, form=poivron, tomate"
