"bsv"	"context"	"full_expression"	"no_match"	"match_with_fcu"	"context"	"location"	"features"
"BSV_GC_n_1_du_27_08_19_cle0c116a"	"té, dans les autres"	"cultures(tournesol, sorgho"	"cultures(tournesol, sorgho"	"sorgho ( sorgho ) =http://ontology.inrae.fr/frenchcropusage/Sorghos, sorgho ( sorgho grain ) =http://ontology.inrae.fr/frenchcropusage/Sorghos_grains"	", ) sans préjudice,"	"8234-8260"	"type=N_PUN_N, match=fcu, form=cultures(tournesol, sorgho"
"BSV_GC_n_27_du_21_05_19_cle8d148f"	"fin février : Orges"	"d'hiver et escourgeons"	"d'hiver et "	"escourgeons ( orge à six rangs ) =http://ontology.inrae.fr/frenchcropusage/Orges_six_rangs"	"p. 9 Le risque mal"	"1377-1399"	"type=N_KON_N, match=fcu, form=d'hiver et escourgeons"
"BSV_GC_n_27_du_21_05_19_cle8d148f"	". Puceron vert dans"	"pois de printemps, E"	"pois de printemps, E"	"pois de printemps ( pois protéagineux de printemps ) =http://ontology.inrae.fr/frenchcropusage/Pois_proteagineux_printemps, pois ( pois ) =http://ontology.inrae.fr/frenchcropusage/Pois"	". Bizot (CA89) Analy"	"17134-17154"	"type=N_PUN_N, match=fcu, form=pois de printemps, E"
"BSV_GC_n_27_du_21_05_19_cle8d148f"	"n. Altise sur jeune"	"tournesol, E"	", E"	"tournesol ( tournesol ) =http://ontology.inrae.fr/frenchcropusage/Tournesols"	". Joudelat (CA89) Am"	"19504-19516"	"type=N_PUN_N, match=fcu, form=tournesol, E"
"BSV_GC_n_27_du_21_05_19_cle8d148f"	"ures à risque comme"	"tournesol et soja"	"tournesol et soja"	"tournesol ( tournesol ) =http://ontology.inrae.fr/frenchcropusage/Tournesols, soja ( soja ) =http://ontology.inrae.fr/frenchcropusage/Sojas"	"), déchaumage et fau"	"20593-20610"	"type=N_KON_N, match=fcu, form=tournesol et soja"
"BSV_GC_n_27_du_21_05_19_cle8d148f"	"ritoire de Belfort."	"Stade et état du maïs"	"Stade et état du "	"maïs ( maïs ) =http://ontology.inrae.fr/frenchcropusage/Mais"	"Le réchauffement pr"	"21309-21330"	"type=N_KON_N, match=fcu, form=Stade et état du maïs"
"BSV_GC_n_33_du_2_07_19_cle0b813e"	"ures à risque comme"	"tournesol et soja"	"tournesol et soja"	"tournesol ( tournesol ) =http://ontology.inrae.fr/frenchcropusage/Tournesols, soja ( soja ) =http://ontology.inrae.fr/frenchcropusage/Sojas"	"), déchaumage et fau"	"3239-3256"	"type=N_KON_N, match=fcu, form=tournesol et soja"
"BSV_GC_n_33_du_2_07_19_cle0b813e"	"ritoire de Belfort."	"Stade et état du maïs"	"Stade et état du "	"maïs ( maïs ) =http://ontology.inrae.fr/frenchcropusage/Mais"	"La majorité des par"	"4012-4033"	"type=N_KON_N, match=fcu, form=Stade et état du maïs"
"BSV_GC_n_33_du_2_07_19_cle0b813e"	"(Jura, Yonne, Saône-"	"et-Loire et Côte"	"et-Loire et "	"Côte ( poirée ) =http://ontology.inrae.fr/frenchcropusage/Poirees"	"d'Or) sans dégâts n"	"11633-11649"	"type=N_KON_N, match=fcu, form=et-Loire et Côte"
"BSV_GRANDES_CULTURES_2019_No21_cle091311"	"rties des plantes :"	"tiges, pétioles, gousses"	"tiges, pétioles, "	"gousses ( légume à graines ou à gousses ) =http://ontology.inrae.fr/frenchcropusage/Legumes_graines_gousses"	". En cas d'attaques"	"20695-20719"	"type=N_PUN_N, match=fcu, form=tiges, pétioles, gousses"
"BSV_GRANDES_CULTURES_2019_No21_cle091311"	", les galeries dans"	"les gousses, les grains de flageolet"	"les gousses, les grains de flageolet"	"gousses ( légume à graines ou à gousses ) =http://ontology.inrae.fr/frenchcropusage/Legumes_graines_gousses, flageolet ( haricot demi-sec ) =http://ontology.inrae.fr/frenchcropusage/Haricots_demi_sec"	"grignotés et la pré"	"20873-20909"	"type=N_PUN_N, match=fcu, form=les gousses, les grains de flageolet"
"BSV_GRANDES_CULTURES_2019_No21_cle091311"	"lle. Les précédents"	"maïs et la proximité de cultures"	" et la proximité de cultures"	"maïs ( maïs ) =http://ontology.inrae.fr/frenchcropusage/Mais"	"de maïs sont des fa"	"21007-21039"	"type=N_KON_N, match=fcu, form=maïs et la proximité de cultures"
"BSV_GRANDES_CULTURES_2019_No21_cle091311"	"NT Pomme de terre :"	"MILEOS et Oignon"	"MILEOS et "	"Oignon ( oignon ) =http://ontology.inrae.fr/frenchcropusage/Oignons"	": MILONI : FREDON I"	"24251-24267"	"type=N_KON_N, match=fcu, form=MILEOS et Oignon"
"BSV_GRANDES_CULTURES_2019_No21_cle091311"	"égumes industriels,"	"arboriculture, maraîchage, pépinière"	"arboriculture, maraîchage, pépinière"	"arboriculture ( arboriculture ) =http://ontology.inrae.fr/frenchcropusage/Arboriculture, maraîchage ( maraîchage ) =http://ontology.inrae.fr/frenchcropusage/Maraichage, pépinière ( arboriculture ) =http://ontology.inrae.fr/frenchcropusage/Arboriculture, pépinière ( horticulture ornementale ) =http://ontology.inrae.fr/frenchcropusage/Horticulture_ornementale"	"horticulture. Pour"	"24693-24729"	"type=N_PUN_N, match=fcu, form=arboriculture, maraîchage, pépinière"
"BSV_GRANDES_CULTURES_2019_No24_cle0c9cf1"	"NT Pomme de terre :"	"MILEOS et Oignon"	"MILEOS et "	"Oignon ( oignon ) =http://ontology.inrae.fr/frenchcropusage/Oignons"	": MILONI : FREDON I"	"15934-15950"	"type=N_KON_N, match=fcu, form=MILEOS et Oignon"
