	bsv	context	full_expression	match_with_fcu	proposition	context.1	location	features
400	BSV-viti-RA-15_09-07-2019_cle01ba24	let. BSV n°15, 2019	Viticulture, région	Viticulture		AURA, édition du te	2760-2779	type=N_PUN_N, form=Viticulture, région
401	BSV-viti-RA-15_09-07-2019_cle01ba24	CA69 BSV n°15, 2019	Viticulture, région	Viticulture		AURA, édition du te	3095-3114	type=N_PUN_N, form=Viticulture, région
402	BSV-viti-RA-15_09-07-2019_cle01ba24	lpes BSV n°15, 2019	Viticulture, région	Viticulture		AURA, édition du te	3403-3422	type=N_PUN_N, form=Viticulture, région
403	BSV-viti-RA-15_09-07-2019_cle01ba24	roubles, oïdium sur	feuilles, grappes et bois	bois		Crédit photo CA69 B	3760-3785	type=N_PUN_N_KON_N, form=feuilles, grappes et bois
404	BSV-viti-RA-15_09-07-2019_cle01ba24	CA69 BSV n°15, 2019	Viticulture, région	Viticulture		AURA, édition du te	3819-3838	type=N_PUN_N, form=Viticulture, région
405	BSV-viti-RA-15_09-07-2019_cle01ba24	CA26 BSV n°15, 2019	Viticulture, région	Viticulture		AURA, édition du te	4085-4104	type=N_PUN_N, form=Viticulture, région
406	BSV-viti-RA-15_09-07-2019_cle01ba24	CA26 BSV n°15, 2019	Viticulture, région	Viticulture		AURA, édition du te	4309-4328	type=N_PUN_N, form=Viticulture, région
407	BSV-viti-RA-15_09-07-2019_cle01ba24	s de la taille d'un	"pois, les
    grappes"	pois		pendent (31) le	4570-4591	"type=N_PUN_N, form=pois, les
    grappes"
408	BSV-viti-RA-15_09-07-2019_cle01ba24	BSV n°15, 2019	Viticulture, région	Viticulture		AURA, édition du te	5462-5481	type=N_PUN_N, form=Viticulture, région
409	BSV-viti-RA-15_09-07-2019_cle01ba24	tôt. À partir de ce	stade, les stomates des baies	baies	stomates des baies	se ferment empêchan	6528-6557	type=N_PUN_N, form=stade, les stomates des baies
410	BSV-viti-RA-15_09-07-2019_cle01ba24	ture. Néanmoins, au	contraire du mildiou, les baies	baies	contraire du mildiou	peuvent être contam	7592-7623	type=N_PUN_N, form=contraire du mildiou, les baies
411	BSV-viti-RA-15_09-07-2019_cle01ba24	tc.) BSV n°15, 2019	Viticulture, région	Viticulture		AURA, édition du te	9166-9185	type=N_PUN_N, form=Viticulture, région
412	BSV-viti-RA-15_09-07-2019_cle01ba24	olte BSV n°15, 2019	Viticulture, région	Viticulture		AURA, édition du te	9565-9584	type=N_PUN_N, form=Viticulture, région
413	BSV-viti-RA-15_09-07-2019_cle01ba24	s de la taille d'un	pois, les grappes	pois		pendent (31)	9832-9849	type=N_PUN_N, form=pois, les grappes
414	BSV-viti-RA-15_09-07-2019_cle01ba24	s de la taille d'un	pois, les grappes	pois		pendent (31)	9895-9912	type=N_PUN_N, form=pois, les grappes
415	BSV-viti-RA-15_09-07-2019_cle01ba24	s de la taille d'un	pois, les grappes	pois		pendent (31)	10191-10208	type=N_PUN_N, form=pois, les grappes
416	BSV-viti-RA-15_09-07-2019_cle01ba24	s de la taille d'un	"pois,
    les grappes"	pois		pendent (31) le	10254-10275	"type=N_PUN_N, form=pois,
    les grappes"
417	BSV-viti-RA-15_09-07-2019_cle01ba24	BSV n°15, 2019	Viticulture, région	Viticulture		AURA, édition du te	11017-11036	type=N_PUN_N, form=Viticulture, région
418	BSV-viti-RA-15_09-07-2019_cle01ba24	eph. BSV n°15, 2019	Viticulture, région	Viticulture		AURA, édition du te	12445-12464	type=N_PUN_N, form=Viticulture, région
419	BSV-viti-RA-15_09-07-2019_cle01ba24	aine BSV n°15, 2019	Viticulture, région	Viticulture		AURA, édition du te	12633-12652	type=N_PUN_N, form=Viticulture, région
420	BSV-viti-RA-15_09-07-2019_cle01ba24	s de la taille d'un	"pois, les
    grappes"	pois		pendent (31)	12887-12908	"type=N_PUN_N, form=pois, les
    grappes"
421	BSV-viti-RA-15_09-07-2019_cle01ba24	oin. BSV n°15, 2019	Viticulture, région	Viticulture		AURA, édition du te	13919-13938	type=N_PUN_N, form=Viticulture, région
422	BSV-viti-RA-15_09-07-2019_cle01ba24	s de la taille d'un	"pois,
    les grappes"	pois		pendent (31) ba	14156-14177	"type=N_PUN_N, form=pois,
    les grappes"
423	BSV-viti-RA-15_09-07-2019_cle01ba24	à eux, des grains à	la taille de pois(31) et les Clairettes	Clairettes	"taille de pois,
"	sont entre les stad	15161-15200	type=N_KON_N, form=la taille de pois(31) et les Clairettes
424	BSV-viti-RA-15_09-07-2019_cle01ba24	ies. BSV n°15, 2019	Viticulture, région	Viticulture		AURA, édition du te	15768-15787	type=N_PUN_N, form=Viticulture, région
425	BSV-viti-RA-15_09-07-2019_cle01ba24	s de la taille d'un	"pois,
    les grappes"	pois		pendent (31) ba	16109-16130	"type=N_PUN_N, form=pois,
    les grappes"
426	BSV-viti-RA-15_09-07-2019_cle01ba24	s de la taille d'un	"pois,
    les grappes"	pois		pendent (31) ba	16172-16193	"type=N_PUN_N, form=pois,
    les grappes"
427	BSV-viti-RA-15_09-07-2019_cle01ba24	s de la taille d'un	"pois,
    les grappes"	pois		pendent (31) le	16331-16352	"type=N_PUN_N, form=pois,
    les grappes"
428	BSV-viti-RA-15_09-07-2019_cle01ba24	s de la taille d'un	pois, les grappes	pois		pendent (31)	16635-16652	type=N_PUN_N, form=pois, les grappes
429	BSV-viti-RA-15_09-07-2019_cle01ba24	s de la taille d'un	pois, les grappes	pois		pendent (31)	16698-16715	type=N_PUN_N, form=pois, les grappes
430	BSV-viti-RA-15_09-07-2019_cle01ba24	s de la taille d'un	pois, les grappes	pois		pendent (31)	16975-16992	type=N_PUN_N, form=pois, les grappes
431	BSV-viti-RA-15_09-07-2019_cle01ba24	BSV n°15, 2019	Viticulture, région	Viticulture		AURA, édition du te	17740-17759	type=N_PUN_N, form=Viticulture, région
432	BSV-viti-RA-15_09-07-2019_cle01ba24	ire. BSV n°15, 2019	Viticulture, région	Viticulture		AURA, édition du te	19796-19815	type=N_PUN_N, form=Viticulture, région
433	BSV-viti-RA-15_09-07-2019_cle01ba24	s de la taille d'un	"pois, les
    grappes"	pois		pendent (31) ba	20194-20215	"type=N_PUN_N, form=pois, les
    grappes"
434	BSV-viti-RA-15_09-07-2019_cle01ba24	s de la taille d'un	"pois, les
    grappes"	pois		pendent (31)	20257-20278	"type=N_PUN_N, form=pois, les
    grappes"
435	BSV-viti-RA-15_09-07-2019_cle01ba24	BSV n°15, 2019	Viticulture, région	Viticulture		AURA, édition du te	21435-21454	type=N_PUN_N, form=Viticulture, région
436	BSV-viti-RA-15_09-07-2019_cle01ba24	ble. BSV n°15, 2019	Viticulture, région	Viticulture		AURA, édition du te	22515-22534	type=N_PUN_N, form=Viticulture, région
437	BSV-viti-RA-15_09-07-2019_cle01ba24	yto. BSV n°15, 2019	Viticulture, région	Viticulture		AURA, édition du te	24746-24765	type=N_PUN_N, form=Viticulture, région
438	BSV-viti-RA-16_16-07-2019_cle0bfb92	ture. Néanmoins, au	contraire du mildiou, les baies	baies	contraire du mildiou	peuvent être contam	782-813	type=N_PUN_N, form=contraire du mildiou, les baies
439	BSV-viti-RA-16_16-07-2019_cle0bfb92	let. BSV n°15, 2019	Viticulture, région	Viticulture		AURA, édition du te	2507-2526	type=N_PUN_N, form=Viticulture, région
440	BSV-viti-RA-16_16-07-2019_cle0bfb92	CA69 BSV n°15, 2019	Viticulture, région	Viticulture		AURA, édition du te	2976-2995	type=N_PUN_N, form=Viticulture, région
441	BSV-viti-RA-16_16-07-2019_cle0bfb92	ugey BSV n°15, 2019	Viticulture, région	Viticulture		AURA, édition du te	3438-3457	type=N_PUN_N, form=Viticulture, région
442	BSV-viti-RA-16_16-07-2019_cle0bfb92	BSV n°15, 2019	Viticulture, région	Viticulture		AURA, édition du te	4543-4562	type=N_PUN_N, form=Viticulture, région
443	BSV-viti-RA-16_16-07-2019_cle0bfb92	ture. Néanmoins, au	contraire du mildiou, les baies	baies	contraire du mildiou	peuvent être contam	5994-6025	type=N_PUN_N, form=contraire du mildiou, les baies
444	BSV-viti-RA-16_16-07-2019_cle0bfb92	te : BSV n°15, 2019	Viticulture, région	Viticulture		AURA, édition du te	7898-7917	type=N_PUN_N, form=Viticulture, région
445	BSV-viti-RA-16_16-07-2019_cle0bfb92	olte BSV n°15, 2019	Viticulture, région	Viticulture		AURA, édition du te	8470-8489	type=N_PUN_N, form=Viticulture, région
446	BSV-viti-RA-16_16-07-2019_cle0bfb92	s de la taille d'un	pois, les grappes	pois		pendent (31)	8745-8762	type=N_PUN_N, form=pois, les grappes
447	BSV-viti-RA-16_16-07-2019_cle0bfb92	s de la taille d'un	pois, les grappes	pois		pendent (31)	8876-8893	type=N_PUN_N, form=pois, les grappes
448	BSV-viti-RA-16_16-07-2019_cle0bfb92	BSV n°15, 2019	Viticulture, région	Viticulture		AURA, édition du te	9791-9810	type=N_PUN_N, form=Viticulture, région
449	BSV-viti-RA-16_16-07-2019_cle0bfb92	ie ) BSV n°15, 2019	Viticulture, région	Viticulture		AURA, édition du te	11311-11330	type=N_PUN_N, form=Viticulture, région
450	BSV-viti-RA-16_16-07-2019_cle0bfb92	s de la taille d'un	"pois, les
    grappes"	pois		pendent (31) le	11557-11578	"type=N_PUN_N, form=pois, les
    grappes"
451	BSV-viti-RA-16_16-07-2019_cle0bfb92	olte BSV n°15, 2019	Viticulture, région	Viticulture		AURA, édition du te	13284-13303	type=N_PUN_N, form=Viticulture, région
452	BSV-viti-RA-16_16-07-2019_cle0bfb92	cée. BSV n°15, 2019	Viticulture, région	Viticulture		AURA, édition du te	14183-14202	type=N_PUN_N, form=Viticulture, région
453	BSV-viti-RA-16_16-07-2019_cle0bfb92	s de la taille d'un	"pois,
    les grappes"	pois		pendent (31)	14462-14483	"type=N_PUN_N, form=pois,
    les grappes"
454	BSV-viti-RA-16_16-07-2019_cle0bfb92	cette semaine. Dans	la vallée de la Gervanne, Muscats et Clairettes	Clairettes	"muscats,
vallée de gervanne"	sont à fermeture de	15035-15082	type=N_PUN_N_KON_N, form=la vallée de la Gervanne, Muscats et Clairettes
455	BSV-viti-RA-16_16-07-2019_cle0bfb92	scats du Bas-Diois.	Les Clairettes du Bas-Diois et Muscats	Clairettes	"muscats,
clairettes du bas-diois"	du Haut-Diois sont	15151-15189	type=N_KON_N, form=Les Clairettes du Bas-Diois et Muscats
456	BSV-viti-RA-16_16-07-2019_cle0bfb92	ppe. BSV n°15, 2019	Viticulture, région	Viticulture		AURA, édition du te	16063-16082	type=N_PUN_N, form=Viticulture, région
457	BSV-viti-RA-16_16-07-2019_cle0bfb92	s de la taille d'un	"pois,
    les grappes"	pois		pendent (31) le	16393-16414	"type=N_PUN_N, form=pois,
    les grappes"
458	BSV-viti-RA-16_16-07-2019_cle0bfb92	s de la taille d'un	pois, les grappes	pois		pendent (31) Le plu	16673-16690	type=N_PUN_N, form=pois, les grappes
459	BSV-viti-RA-16_16-07-2019_cle0bfb92	BSV n°15, 2019	Viticulture, région	Viticulture		AURA, édition du te	17812-17831	type=N_PUN_N, form=Viticulture, région
460	BSV-viti-RA-16_16-07-2019_cle0bfb92	let. BSV n°15, 2019	Viticulture, région	Viticulture		AURA, édition du te	20465-20484	type=N_PUN_N, form=Viticulture, région
461	BSV-viti-RA-16_16-07-2019_cle0bfb92	nte. BSV n°15, 2019	Viticulture, région	Viticulture		AURA, édition du te	22294-22313	type=N_PUN_N, form=Viticulture, région
462	BSV-viti-RA-16_16-07-2019_cle0bfb92	mes. BSV n°15, 2019	Viticulture, région	Viticulture		AURA, édition du te	22813-22832	type=N_PUN_N, form=Viticulture, région
463	BSV-viti-RA-16_16-07-2019_cle0bfb92	yto. BSV n°15, 2019	Viticulture, région	Viticulture		AURA, édition du te	25071-25090	type=N_PUN_N, form=Viticulture, région
464	BSVViti_20190730_N22_cle019b19	de nourriture dans	les bois, les criquets	bois	criquets	se rabattent sur le	860-882	type=N_PUN_N, form=les bois, les criquets
465	BSV_12_-_2_juillet_2019_cle8252f7	ire (10 %). En tous	secteurs, la vigne	vigne		reste dans sa pério	3719-3737	type=N_PUN_N, form=secteurs, la vigne
466	BSV_12_-_2_juillet_2019_cle8252f7	Axvigne, Interval,	Coteaux de Champlitte, Société de Viticulture	Viticulture	"société de viticulture,
coteaux de champlitte"	du Jura Ce bulletin	5513-5558	type=N_PUN_N, form=Coteaux de Champlitte, Société de Viticulture
467	BSV_16_-_30_juillet_2019_cle8caa6e	nce). Jusqu'à début	véraison, la vigne	vigne	véraison	demeure très sensib	3312-3330	type=N_PUN_N, form=véraison, la vigne
468	BSV_16_-_30_juillet_2019_cle8caa6e	Axvigne, Interval,	Coteaux de Champlitte, Société de Viticulture	Viticulture	"société de viticulture,
coteaux de champlitte"	du Jura Ce bulletin	5474-5519	type=N_PUN_N, form=Coteaux de Champlitte, Société de Viticulture
469	BSV_19-04-16_2_cle84b397	nelin BSV n°2, 2019	Viticulture, région	Viticulture		AURA, édition du te	1598-1617	type=N_PUN_N, form=Viticulture, région
470	BSV_19-04-16_2_cle84b397	lées. BSV n°2, 2019	Viticulture, région	Viticulture		AURA, édition du te	3219-3238	type=N_PUN_N, form=Viticulture, région
471	BSV_19-04-16_2_cle84b397	hyto. BSV n°2, 2019	Viticulture, région	Viticulture		AURA, édition du te	5216-5235	type=N_PUN_N, form=Viticulture, région
472	BSV_19-06-25_12_cle0b3618	ur et de l'eau dans	le sol, les vigne	vigne		sont actuellement t	1246-1263	type=N_PUN_N, form=le sol, les vigne
473	BSV_19-06-25_12_cle0b3618	tes. BSV n°12, 2019	Viticulture, région	Viticulture		AURA, édition du te	1330-1349	type=N_PUN_N, form=Viticulture, région
474	BSV_19-06-25_12_cle0b3618	ent. BSV n°12, 2019	Viticulture, région	Viticulture		AURA, édition du te	2691-2710	type=N_PUN_N, form=Viticulture, région
475	BSV_19-06-25_12_cle0b3618	lle. BSV n°12, 2019	Viticulture, région	Viticulture		AURA, édition du te	4184-4203	type=N_PUN_N, form=Viticulture, région
476	BSV_19-06-25_12_cle0b3618	yto. BSV n°12, 2019	Viticulture, région	Viticulture		AURA, édition du te	6187-6206	type=N_PUN_N, form=Viticulture, région
477	BSV_19-07-30_17_cle08d978	ser. BSV n°17, 2019	Viticulture, région	Viticulture		AURA, édition du te	1612-1631	type=N_PUN_N, form=Viticulture, région
478	BSV_19-07-30_17_cle08d978	ées. BSV n°17, 2019	Viticulture, région	Viticulture		AURA, édition du te	3130-3149	type=N_PUN_N, form=Viticulture, région
479	BSV_19-07-30_17_cle08d978	que. BSV n°17, 2019	Viticulture, région	Viticulture		AURA, édition du te	4878-4897	type=N_PUN_N, form=Viticulture, région
480	BSV_19-07-30_17_cle08d978	yto. BSV n°17, 2019	Viticulture, région	Viticulture		AURA, édition du te	7007-7026	type=N_PUN_N, form=Viticulture, région
481	BSV_1_-_16_avril_2019_cle43d31d	SICAVAC, Société de	Viticulture du Jura, Coopérative	Viticulture	"viticulture du jura,
coopérative"	Bourgogne du Sud. A	2051-2083	type=N_PUN_N, form=Viticulture du Jura, Coopérative
482	BSV_1_-_16_avril_2019_cle43d31d	Axvigne, Interval,	Coteaux de Champlitte, Société de Viticulture	Viticulture	"société de viticulture,
coteaux de champlitte"	du Jura Ce bulletin	5637-5682	type=N_PUN_N, form=Coteaux de Champlitte, Société de Viticulture
483	BSV_4_-_7_mai_2019_cle8db5ca	au cours de cette 1	semaine de mai, la croissance de la vigne	vigne	"croissance de vigne,
semaine de mai"	est toujours lente	781-822	type=N_PUN_N, form=semaine de mai, la croissance de la vigne
484	BSV_4_-_7_mai_2019_cle8db5ca	Axvigne, Interval,	Coteaux de Champlitte, Société de Viticulture	Viticulture	"société de viticulture,
coteaux de champlitte"	du Jura Ce bulletin	6579-6624	type=N_PUN_N, form=Coteaux de Champlitte, Société de Viticulture
485	BSV_NA_VIGNE_CHARENTES_02_20190409_cle8ac81e	iver en moins de 24	heures, vigne	vigne		réceptive (au moins	6522-6535	type=N_PUN_N, form=heures, vigne
486	BSV_NA_VIGNE_CHARENTES_02_20190409_cle8ac81e	s de la Vigne et du	Vin, la Station	Vin		Viticole du BNIC et	15187-15202	type=N_PUN_N, form=Vin, la Station
487	BSV_NA_VIGNE_CHARENTES_07_20190514_cle841735	rsistantes tels que	les conifères, les rosiers	conifères	rosiers	sauvages, les ronce	11642-11668	type=N_PUN_N, form=les conifères, les rosiers
488	BSV_NA_VIGNE_CHARENTES_07_20190514_cle841735	s de la Vigne et du	Vin, la Station	Vin		Viticole du BNIC et	14027-14042	type=N_PUN_N, form=Vin, la Station
489	BSV_NA_VIGNE_CHARENTES_18_20190730_cle8d5827	s de la Vigne et du	Vin, la Station	Vin		Viticole du BNIC et	13750-13765	type=N_PUN_N, form=Vin, la Station
490	BSV_NA_VIGNE_CHARENTES_19_20190806_cle88b155	s de la Vigne et du	Vin, la Station	Vin		Viticole du BNIC et	10914-10929	type=N_PUN_N, form=Vin, la Station
491	BSV_NA_VIGNE_CHARENTES_22_20190903_cle8f1178	s de la Vigne et du	Vin, la Station	Vin		Viticole du BNIC et	7238-7253	type=N_PUN_N, form=Vin, la Station
492	BSV_NA_VIGNE_Haut-Poitou_03_20190430_cle4165b7	noculum présent sur	les bois, vrilles et restes de grappes	bois	"restes de grappes,
vrilles"	de l'an passé. Modé	9326-9364	type=N_PUN_N_KON_N, form=les bois, vrilles et restes de grappes
493	BSV_NA_VIGNE_Haut-Poitou_03_20190430_cle4165b7	rative Centre Ouest	Céréales, les Etablissements	Céréales	etablissements	Soufflet, l'Institu	13492-13520	type=N_PUN_N, form=Céréales, les Etablissements
494	BSV_NA_VIGNE_Haut-Poitou_13_20190709_cle44ed93	Stade entre baies à	taille de pois et début	pois	taille de pois	fermeture sur Chard	2540-2563	type=N_KON_N, form=taille de pois et début
495	BSV_NA_VIGNE_Haut-Poitou_13_20190709_cle44ed93	stade 31 : baies à	taille de pois et les grappes	pois	taille de pois	pendent. Les grappe	2692-2721	type=N_KON_N, form=taille de pois et les grappes
496	BSV_NA_VIGNE_Haut-Poitou_13_20190709_cle44ed93	a grosseur de petit-	pois, les grappes	pois		sont en position ve	2867-2884	type=N_PUN_N, form=pois, les grappes
497	BSV_NA_VIGNE_Haut-Poitou_13_20190709_cle44ed93	a grosseur de petit-	pois, les grappes	pois		sont en position ve	3205-3222	type=N_PUN_N, form=pois, les grappes
498	BSV_NA_VIGNE_Haut-Poitou_13_20190709_cle44ed93	iques favorables au	champignon, le risque	champignon		potentiel est deven	8601-8622	type=N_PUN_N, form=champignon, le risque
499	BSV_NA_VIGNE_Haut-Poitou_13_20190709_cle44ed93	rative Centre Ouest	Céréales, les Etablissements	Céréales	etablissements	Soufflet, l'Institu	14739-14767	type=N_PUN_N, form=Céréales, les Etablissements
500	BSV_NA_VIGNE_Haut-Poitou_15_20190806_cle4c661d	rative Centre Ouest	Céréales, les Etablissements	Céréales	etablissements	Soufflet, l'Institu	16164-16192	type=N_PUN_N, form=Céréales, les Etablissements
501	BSV_NA_VIGNE_Limousin_02_20190409_cle81e534	ose : Symptômes sur	bois, rameaux et feuilles	bois	rameaux	à gauche : Chancres	3272-3297	type=N_PUN_N_KON_N, form=bois, rameaux et feuilles
502	BSV_NA_VIGNE_Limousin_02_20190409_cle81e534	non directement sur	le bois, les contaminations	bois	contaminations	primaires peuvent s	7512-7539	type=N_PUN_N, form=le bois, les contaminations
503	BSV_NA_VIGNE_Limousin_02_20190409_cle81e534	prise d'activité du	champignon et la production de spores	champignon	production de spores	qui pourront être d	10318-10355	type=N_KON_N, form=champignon et la production de spores
504	BSV_NA_VIGNE_Limousin_07_20190522_cle81f925	t été observées sur	la vigne, début et mi	vigne		mai. La présence de	10031-10052	type=N_PUN_N_KON_N, form=la vigne, début et mi
505	BSV_NA_VIGNE_Nord_Aquitaine_04_20190416_cle876cf5	Aquitaine, Soufflet	Vigne, SRA	Vigne		Cadillac, Terres du	18041-18051	type=N_PUN_N, form=Vigne, SRA
506	BSV_NA_VIGNE_Nord_Aquitaine_07_20190507_cle8b2385	vigne va diluer sa	présence et les auxiliaires de la vigne	vigne	"présence,
auxiliaires de vigne"	vont maîtriser leur	15331-15370	type=N_KON_N, form=présence et les auxiliaires de la vigne
507	BSV_NA_VIGNE_Nord_Aquitaine_07_20190507_cle8b2385	Aquitaine, Soufflet	Vigne, SRA	Vigne		Cadillac, Terres du	21775-21785	type=N_PUN_N, form=Vigne, SRA
508	BSV_NA_VIGNE_Nord_Aquitaine_17_20190716_cle8d5da5	Aquitaine, Soufflet	Vigne, SRA	Vigne		Cadillac, Terres du	23453-23463	type=N_PUN_N, form=Vigne, SRA
509	BSV_NA_VIGNE_Nord_Aquitaine_19_20190730_cle819684	très hétérogène au	sein des parcelles et les baies	baies	sein des parcelles	ont grossi suite au	4827-4858	type=N_KON_N, form=sein des parcelles et les baies
510	BSV_NA_VIGNE_Nord_Aquitaine_19_20190730_cle819684	Aquitaine, Soufflet	Vigne, SRA	Vigne		Cadillac, Terres du	23648-23658	type=N_PUN_N, form=Vigne, SRA
511	BSV_NA_VIGNE_Nord_Aquitaine_20_20190806_cle891ea2	Aquitaine, Soufflet	Vigne, SRA	Vigne		Cadillac, Terres du	22450-22460	type=N_PUN_N, form=Vigne, SRA
512	BSV_NA_VIGNE_Sud_Aquitaine_02_20190401_01_cle4bdf4a	iver en moins de 24	heures, vigne	vigne		réceptive (au moins	8478-8491	type=N_PUN_N, form=heures, vigne
513	BSV_Viticulture_2_17_mai_2019_cle8f88af	plus attaqués sont	l'avocat, la mangue et la papaye	mangue, papaye	avocat	mais l'espèce s'en	10453-10485	type=N_PUN_N_KON_N, form=l'avocat, la mangue et la papaye
514	BSV_Viticulture_2_17_mai_2019_cle8f88af	s'en prend aussi au	citron, goyave, banane, nèfle du Japon, tomate, cerise de Cayenne, fruit de la passion, kaki, ananas, pêche, poire, abricot, figue et café	citron, goyave, banane, tomate, cerise, kaki, ananas, pêche, poire, abricot, figue, café	"cerise de cayenne,
fruit de passion,
nèfle du japon"	. Les légumes concer	10520-10658	type=N_PUN_N_KON_N, form=citron, goyave, banane, nèfle du Japon, tomate, cerise de Cayenne, fruit de la passion, kaki, ananas, pêche, poire, abricot, figue et café
515	BSV_Viticulture_2_17_mai_2019_cle8f88af	rnés sont notamment	les tomates, poivrons, melons et courges	tomates, poivrons, melons, courges		. Comme les autres m	10697-10737	type=N_PUN_N_KON_N, form=les tomates, poivrons, melons et courges
516	BSV_Viticulture_2_17_mai_2019_cle8f88af	ffecter de nombreux	végétaux, oliviers, Prunus	oliviers	"prunus,
végétaux"	(pêchers, amandiers	11285-11311	type=N_PUN_N, form=végétaux, oliviers, Prunus
517	BSV_Viticulture_2_17_mai_2019_cle8f88af	, oliviers, Prunus (	pêchers, amandiers	pêchers, amandiers		), laurier rose, vig	11313-11331	type=N_PUN_N, form=pêchers, amandiers
518	BSV_Viticulture_2_17_mai_2019_cle8f88af	ers), laurier rose,	vigne, agrumes, caféiers, chênes, Les dépérissements	vigne, agrumes, caféiers, chênes	dépérissements	provoqués par la ma	11348-11400	type=N_PUN_N, form=vigne, agrumes, caféiers, chênes, Les dépérissements
519	BSV_Viticulture_5_18_juillet_2019_cle8b576d	plus attaqués sont	l'avocat, la mangue et la papaye	mangue, papaye	avocat	mais l'espèce s'en	9389-9421	type=N_PUN_N_KON_N, form=l'avocat, la mangue et la papaye
520	BSV_Viticulture_5_18_juillet_2019_cle8b576d	s'en prend aussi au	citron, goyave, banane, nèfle du Japon, tomate, cerise de Cayenne, fruit de la passion, kaki, ananas, pêche, poire, abricot, figue et café	citron, goyave, banane, tomate, cerise, kaki, ananas, pêche, poire, abricot, figue, café	"cerise de cayenne,
fruit de passion,
nèfle du japon"	. Les légumes concer	9456-9594	type=N_PUN_N_KON_N, form=citron, goyave, banane, nèfle du Japon, tomate, cerise de Cayenne, fruit de la passion, kaki, ananas, pêche, poire, abricot, figue et café
521	BSV_Viticulture_5_18_juillet_2019_cle8b576d	rnés sont notamment	les tomates, poivrons, melons et courges	tomates, poivrons, melons, courges		. Comme les autres m	9633-9673	type=N_PUN_N_KON_N, form=les tomates, poivrons, melons et courges
522	BSV_Viticulture_5_18_juillet_2019_cle8b576d	ffecter de nombreux	végétaux, oliviers, Prunus	oliviers	"prunus,
végétaux"	(pêchers, amandiers	10220-10246	type=N_PUN_N, form=végétaux, oliviers, Prunus
523	BSV_Viticulture_5_18_juillet_2019_cle8b576d	, oliviers, Prunus (	pêchers, amandiers	pêchers, amandiers		), laurier rose, vig	10248-10266	type=N_PUN_N, form=pêchers, amandiers
524	BSV_Viticulture_5_18_juillet_2019_cle8b576d	ers), laurier rose,	vigne, agrumes, caféiers, chênes, Les dépérissements	vigne, agrumes, caféiers, chênes	dépérissements	provoqués par la ma	10283-10335	type=N_PUN_N, form=vigne, agrumes, caféiers, chênes, Les dépérissements
525	BSV_viti_01_du_16-04-19_cle878624	u pour germer. Dans	les parcelles de vignes, les oospores	vignes	"parcelles de vignes,
oospores"	(œufs d'hiver) se c	10882-10919	type=N_PUN_N, form=les parcelles de vignes, les oospores
526	alsace_vigne_no13_du_29-07-19_cle853dc6	rangs ouest et sud,	les rangs de bordure, les vignes	vignes	rangs de bordure	en alterné, sont le	808-840	type=N_PUN_N, form=les rangs de bordure, les vignes
527	alsace_vigne_no14_du_20-08-19_cle8ee257	s de baies, vers de	la grappe, éclatements de baies	baies	éclatements de baies	(cas du Gewurztrami	2797-2828	type=N_PUN_N, form=la grappe, éclatements de baies
528	alsace_vigne_no14_du_20-08-19_cle8ee257	e, l'environnement (	forêt, haie	forêt	haie	) et de par l'éclat	4527-4538	type=N_PUN_N, form=forêt, haie
529	bsv_raisin_n07_14052019_cle85bd4c	roissance active de	la vigne, les conditions	vigne		climatiques actuell	4686-4710	type=N_PUN_N, form=la vigne, les conditions
530	bsv_raisin_n12_18062019_cle8578dc	sont en place dans	les vergers et les cultures	vergers		légumières. Les tra	3119-3146	type=N_KON_N, form=les vergers et les cultures
531	bsv_viti_13_27_06_2019_cle07f426	ades BBCH-69 et 73 (	grains de plomb, baies	baies	grains de plomb	2-3 mm). Les parcel	1031-1053	type=N_PUN_N, form=grains de plomb, baies
532	bsv_viti_13_27_06_2019_cle07f426	homologation (usage	vigne et usage	vigne		contre tel ou tel b	4562-4576	type=N_KON_N, form=vigne et usage
533	bsv_viti_14_04_07_2019-1_cle888dd3	endredi 5 juillet :	Plantes de service et gestion des ravageurs	Plantes de service	gestion des ravageurs	. Le vendredi 12 jui	11345-11388	type=N_KON_N, form=Plantes de service et gestion des ravageurs
534	bsv_viti_14_04_07_2019-1_cle888dd3	homologation (usage	vigne et usage	vigne		contre tel ou tel b	12149-12163	type=N_KON_N, form=vigne et usage
535	bsv_viti_17_25_07_2019_cle0a86e1	ur les baies). Si à	l'approche de la véraison, les baies	baies	approche de véraison	se ramollissent lég	947-983	type=N_PUN_N, form=l'approche de la véraison, les baies
536	bsv_viti_lr_n03_16042019_cle82d51a	e et ses affluents (	Ognon et La Cesse	Ognon		), le fleuve Orb et	8027-8044	type=N_KON_N, form=Ognon et La Cesse
537	bsv_viti_lr_n03_16042019_cle82d51a	ose : Symptômes sur	bois et rameaux	bois	rameaux	à gauche : pycnides	9767-9782	type=N_KON_N, form=bois et rameaux
538	bsv_viti_lr_n17_30072019_cle8cc4c8	sont en place dans	les vergers et les cultures	vergers		légumières. Les tra	2768-2795	type=N_KON_N, form=les vergers et les cultures
539	bsv_viti_mp_aveyron_n02_19042019-2_cle8676eb	ose : Symptômes sur	bois, rameaux et feuilles	bois	rameaux	à gauche : Chancres	4949-4974	type=N_PUN_N_KON_N, form=bois, rameaux et feuilles
