"bsv"	"type"	"number of words"	"html tag"	"context before"	"form"	"lemma"	"prefLabel"	"context after"	"location"	"features"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_NA_GC_Aquitaine_N5_20180322_cle4a4445.html"	"html"	"3989"	"P."	"sque : du stade D1 ("	"BBCH50"	"BBCH50"	""	"boutons floraux acc"	"10626-10632"	"type=BBCH, canonical-form=BBCH 50, form=BBCH50"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_NA_GC_Aquitaine_N5_20180322_cle4a4445.html"	"html"	"3989"	"P."	"ccolés) au stade E ("	"BBCH57"	"BBCH57"	""	"boutons séparés). S"	"10670-10676"	"type=BBCH, canonical-form=BBCH 57, form=BBCH57"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_NA_KIWI_9_20200409_cle0a82f1.html"	"html"	"783"	"FIGURE. FIGCAPTION."	"floraux visibles "" ("	"BBCH 51"	"BBCH @card@"	""	"). Variété à chair j"	"1171-1178"	"type=BBCH-DD, canonical-form=BBCH 51, form=BBCH 51"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_NA_KIWI_9_20200409_cle0a82f1.html"	"html"	"783"	"FIGURE. FIGCAPTION."	"ns floraux dégagés """	"(BBCH 51"	"(BBCH @card@"	""	"). Pseudomonas syrin"	"1238-1246"	"type=BBCH-DD, canonical-form=BBCH 51, form=(BBCH 51"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_NA_POMMIER_POIRIER_LIMOUSIN_01_20200124_cle837b7a.html"	"html"	"2604"	"P."	"ir Poirier Stade A ("	"BBCH 00"	"BBCH @card@"	""	") dominant pour tout"	"1004-1011"	"type=BBCH-DD, canonical-form=BBCH 00, form=BBCH 00"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_NA_POMMIER_POIRIER_LIMOUSIN_01_20200124_cle837b7a.html"	"html"	"2604"	"P."	"s. Pommier Stade A ("	"BBCH 00"	"BBCH @card@"	""	") dominant pour tout"	"1143-1150"	"type=BBCH-DD, canonical-form=BBCH 00, form=BBCH 00"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_NA_POMMIER_POIRIER_Sud_8_20190404_cle0177e8.html"	"html"	"3740"	"FIGURE. FIGCAPTION."	"t voir les pétales """	"(BBCH 59"	"(BBCH @card@"	""	") Stade F"" Première"	"2087-2095"	"type=BBCH-DD, canonical-form=BBCH 59, form=(BBCH 59"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_NA_POMMIER_POIRIER_Sud_8_20190404_cle0177e8.html"	"html"	"3740"	"FIGURE. FIGCAPTION."	"F"" Première fleur """	"(BBCH 60"	"(BBCH @card@"	""	") Stade F2"" Peine fl"	"2122-2130"	"type=BBCH-DD, canonical-form=BBCH 60, form=(BBCH 60"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_NA_POMMIER_POIRIER_Sud_8_20190404_cle0177e8.html"	"html"	"3740"	"FIGURE. FIGCAPTION."	"2"" Peine floraison """	"(BBCH 64"	"(BBCH @card@"	""	") Stade G"" Chute des"	"2159-2167"	"type=BBCH-DD, canonical-form=BBCH 64, form=(BBCH 64"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_NA_POMMIER_POIRIER_Sud_8_20190404_cle0177e8.html"	"html"	"3740"	"FIGURE. FIGCAPTION."	"premiers pétales "" ("	"BBCH 65"	"BBCH @card@"	""	") (Crédit Photos : E"	"2208-2215"	"type=BBCH-DD, canonical-form=BBCH 65, form=BBCH 65"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_NA_POMMIER_POIRIER_Sud_8_20190404_cle0177e8.html"	"html"	"3740"	"FIGURE. FIGCAPTION."	""" Pleine floraison """	"(BBCH 64"	"(BBCH @card@"	""	") Stade G"" Chute des"	"2547-2555"	"type=BBCH-DD, canonical-form=BBCH 64, form=(BBCH 64"
